drugbank_id,half_life,half_life_unit,half_life_unit_mixed,half_life_n_records,half_life_hours
DB00004,70.0,minutes,False,1,1.1666666666666667
DB00008,164.0,hours,False,1,164.0
DB01281,14.700000000000001,days,False,3,352.8
DB00659,3.0,hours,False,1,3.0
DB00034,5.55,hours,False,2,5.55
DB01001,3.65,hours,False,2,3.65
DB00087,2.0,weeks,False,1,336.0
DB00009,5.0,minutes,False,1,0.08333333333333333
DB00039,4.5,hours,False,1,4.5
DB00059,5.55,days,False,2,133.2
DB00316,3.25,hours,False,2,3.25
DB00204,10.0,hours,False,1,10.0
DB00244,13.785714285714286,hours,True,7,8.166666666666668
DB00296,3.0,hours,False,2,3.0
DB09347,4.0,hours,False,1,4.0
DB06151,8.3,hours,False,2,8.3
DB00352,80.0,minutes,False,1,1.3333333333333333
DB00787,3.3666666666666667,hours,False,3,3.3666666666666667
DB00370,20.0,hours,False,1,20.0
DB00915,8.5,days,True,2,89.0
DB00433,8.5,hours,False,2,8.5
DB08916,190.5,hours,False,2,190.5
DB00669,1.8,hours,False,3,1.8
DB00404,14.783333333333333,hours,False,6,14.783333333333333
DB00770,5.0,minutes,False,1,0.08333333333333333
DB00684,3.0,hours,False,1,3.0
DB00811,120.0,hours,False,1,120.0
DB01616,0.8,hours,False,1,0.8
DB11640,3.8499999999999996,hours,False,2,3.8499999999999996
DB00479,16.0,hours,False,2,16.0
DB00001,3.766666666666667,days,True,3,0.48888888888888893
DB00002,112.0,hours,False,1,112.0
DB01118,21.05,days,True,4,486.8
DB00006,28.5,minutes,True,3,1.6222222222222225
DB00007,3.0,hours,False,1,3.0
DB00381,43.0,hours,False,2,43.0
DB00010,11.0,minutes,False,1,0.18333333333333332
DB00013,12.6,minutes,False,1,0.21
DB00014,4.0,hours,False,1,4.0
DB00017,45.0,minutes,False,3,0.75
DB00019,42.0,hours,False,1,42.0
DB00022,40.0,hours,False,1,40.0
DB00023,14.426666666666668,hours,True,3,24.24
DB00024,25.0,hours,False,1,25.0
DB00025,8.4,hours,False,1,8.4
DB00026,4.85,hours,False,2,4.85
DB00030,120.0,minutes,False,1,2.0
DB00038,6.9,hours,False,1,6.9
DB00040,31.0,minutes,False,3,0.5166666666666667
DB00041,13.0,minutes,False,1,0.21666666666666667
DB00044,18.0,hours,False,1,18.0
DB00046,0.9233333333333333,hours,False,3,0.9233333333333333
DB00049,18.0,hours,False,1,18.0
DB00050,62.8,hours,False,1,62.8
DB00051,14.0,days,False,1,336.0
DB00052,14.05,hours,True,2,3.6758333333333333
DB00053,3.6,minutes,False,1,0.06
DB00054,15.0,minutes,False,2,0.25
DB09329,14.059999999999999,hours,False,2,14.059999999999999
DB00060,10.0,hours,False,1,10.0
DB00061,3.0,days,False,1,72.0
DB00063,2.5,hours,False,1,2.5
DB00065,7.7,days,False,1,184.8
DB00066,19.0,hours,False,2,19.0
DB00067,0.0,minutes,False,1,0.0
DB05676,6.0,hours,False,1,6.0
DB00407,2.25,hours,False,2,2.25
DB09274,29.766666666666666,minutes,True,3,0.5944444444444444
DB01072,9.55,hours,False,2,9.55
DB00572,6.0,hours,False,2,6.0
DB09121,3.0,days,False,1,72.0
DB00076,15.0,hours,False,1,15.0
DB01061,1.65,hours,False,2,1.65
DB00355,2.8333333333333335,hours,False,3,2.8333333333333335
DB00081,0.8,hours,False,1,0.8
DB00082,6.0,days,False,1,144.0
DB00088,3.6,minutes,False,1,0.06
DB00090,1.5,hours,False,1,1.5
DB00091,19.0,hours,False,2,19.0
DB00092,270.0,hours,False,1,270.0
DB00094,19.0,hours,False,2,19.0
DB00095,5.0,days,False,1,120.0
DB00097,16.75,hours,False,2,16.75
DB00098,2.0,days,False,1,48.0
DB00074,7.2,days,False,1,172.8
DB00100,18.8,hours,False,1,18.8
DB00103,67.0,minutes,False,1,1.1166666666666667
DB08879,19.4,days,False,1,465.59999999999997
DB01053,0.4,hours,False,1,0.4
DB00105,2.0,hours,False,1,2.0
DB00106,13.2,days,False,1,316.79999999999995
DB00107,1.0,minutes,False,1,0.016666666666666666
DB00108,10.5,days,False,2,252.0
DB00109,3.8,hours,False,1,3.8
DB06771,7.0,hours,False,1,7.0
DB00111,11.0,days,False,1,264.0
DB00112,15.5,days,False,2,372.0
DB00113,1.0,hours,False,1,1.0
DB00115,203.0,days,False,2,4872.0
DB00126,9.7,days,True,2,193.7
DB00130,1.0,hours,False,1,1.0
DB00136,5.0,hours,False,1,5.0
DB00140,66.0,minutes,False,1,1.1
DB00146,288.0,hours,False,1,288.0
DB00148,3.0,hours,False,1,3.0
DB00162,1.9,hours,False,1,1.9
DB00443,10.2,hours,False,1,10.2
DB00168,300.0,days,False,1,7200.0
DB09059,1.7,hours,False,1,1.7
DB00175,1.8,hours,False,1,1.8
DB00176,15.6,hours,False,1,15.6
DB09052,2.145,hours,False,2,2.145
DB00178,20.2,hours,False,5,20.2
DB00180,1.8,hours,False,1,1.8
DB00181,2.8666666666666667,hours,False,3,2.8666666666666667
DB00183,0.0,minutes,False,1,0.0
DB00184,1.0,hours,False,1,1.0
DB00185,5.0,hours,False,1,5.0
DB00559,5.0,hours,False,1,5.0
DB01158,10.4,hours,False,2,10.4
DB01222,2.3,hours,False,2,2.3
DB00187,5.5,minutes,False,2,0.09166666666666666
DB05015,1.1,hours,False,1,1.1
DB00612,12.833333333333334,hours,False,3,12.833333333333334
DB00189,15.5,hours,False,2,15.5
DB00190,107.0,minutes,False,1,1.7833333333333332
DB00191,13.5,hours,False,2,13.5
DB00193,5.0,hours,False,1,5.0
DB00195,14.0,hours,False,1,14.0
DB00197,16.0,hours,False,1,16.0
DB00198,1.0,hours,False,1,1.0
DB00199,2.95,hours,False,2,2.95
DB00200,6.0,days,False,1,144.0
DB15248,4.0,hours,False,1,4.0
DB00297,8.6,hours,False,3,8.6
DB00202,47.0,seconds,False,1,0.013055555555555556
DB00203,3.0,hours,False,1,3.0
DB00205,96.0,hours,False,1,96.0
DB00207,68.0,hours,False,1,68.0
DB00490,2.0,hours,False,1,2.0
DB00201,32.0,hours,False,4,32.0
DB00209,20.0,hours,False,1,20.0
DB00213,1.0,hours,False,1,1.0
DB00215,35.0,hours,False,1,35.0
DB00216,4.0,hours,False,1,4.0
DB00217,8.0,hours,False,2,8.0
DB00218,11.5,hours,False,1,11.5
DB00220,3.5,hours,False,1,3.5
DB00222,2.5,hours,False,2,2.5
DB00224,1.8,hours,False,1,1.8
DB00225,40.75,minutes,False,2,0.6791666666666667
DB00226,10.0,hours,False,1,10.0
DB00227,13.37,hours,False,1,13.37
DB00229,1.0,hours,False,1,1.0
DB00230,6.3,hours,False,1,6.3
DB00231,9.0,hours,False,1,9.0
DB00234,12.5,hours,False,1,12.5
DB00235,2.3499999999999996,hours,False,2,2.3499999999999996
DB00237,100.0,hours,False,1,100.0
DB00238,45.0,hours,False,1,45.0
DB00241,52.333333333333336,hours,False,3,52.333333333333336
DB00243,7.0,hours,False,1,7.0
DB00245,36.0,hours,False,1,36.0
DB00246,6.0,hours,False,1,6.0
DB00248,63.0,hours,False,1,63.0
DB00250,10.0,hours,False,1,10.0
DB00251,4.0,hours,False,1,4.0
DB11168,2.7,hours,False,1,2.7
DB00256,8.0,hours,False,1,8.0
DB00260,10.0,hours,False,1,10.0
DB00261,1.5,hours,False,1,1.5
DB00262,15.0,minutes,False,1,0.25
DB00264,3.0,hours,False,1,3.0
DB00267,1.0,hours,False,1,1.0
DB00268,6.0,hours,False,1,6.0
DB00270,8.0,hours,False,1,8.0
DB00273,19.0,hours,False,1,19.0
DB00274,1.5,hours,False,1,1.5
DB00275,10.0,hours,False,1,10.0
DB00276,8.0,hours,False,1,8.0
DB00277,8.0,hours,False,1,8.0
DB00278,39.0,minutes,False,1,0.65
DB00279,1.0,days,False,1,24.0
DB00280,5.35,hours,False,2,5.35
DB06441,3.0,minutes,False,1,0.05
DB00282,28.0,hours,False,1,28.0
DB00284,2.0,hours,False,1,2.0
DB00285,5.0,hours,False,1,5.0
DB00286,17.0,hours,False,1,17.0
DB00535,1.45,hours,False,2,1.45
DB00289,3.0,hours,False,1,3.0
DB00290,115.0,minutes,False,1,1.9166666666666667
DB00291,1.5,hours,False,1,1.5
DB00292,75.0,minutes,False,1,1.25
DB00293,198.0,hours,False,1,198.0
DB00294,25.0,hours,False,1,25.0
DB00295,2.0,hours,False,1,2.0
DB01066,1.6,hours,False,1,1.6
DB01413,11.5,hours,False,3,11.5
DB00299,2.0,hours,False,1,2.0
DB00300,17.0,hours,False,1,17.0
DB00301,0.75,hours,False,1,0.75
DB00302,6.5,hours,False,2,6.5
DB00671,7.25,hours,False,2,7.25
DB00304,30.0,hours,False,1,30.0
DB00305,8.0,minutes,False,1,0.13333333333333333
DB00307,7.0,hours,False,1,7.0
DB00308,6.0,hours,False,1,6.0
DB00309,24.0,hours,False,1,24.0
DB00310,40.0,hours,False,1,40.0
DB00311,2.5,hours,False,1,2.5
DB00312,5.0,hours,False,1,5.0
DB00446,7.220000000000001,hours,False,5,7.220000000000001
DB00317,48.0,hours,False,1,48.0
